id,open_hour,close_hour,provider_id,day_of_week_id
1,06:30 am,06:30 pm,3,2
2,06:30 am,06:30 pm,3,3
3,06:30 am,06:30 pm,3,4
4,06:30 am,06:30 pm,3,5
5,06:30 am,06:30 pm,3,6
6,07:00 am,05:30 pm,4,2
7,07:00 am,05:30 pm,4,3
8,07:00 am,05:30 pm,4,4
9,07:00 am,05:30 pm,4,5
10,07:00 am,05:30 pm,4,6
11,07:00 am,05:30 pm,5,2
12,07:00 am,05:30 pm,5,3
13,07:00 am,05:30 pm,5,4
14,07:00 am,05:30 pm,5,5
15,07:00 am,05:30 pm,5,6
16,06:30 am,06:30 pm,6,2
17,06:30 am,06:30 pm,6,3
18,06:30 am,06:30 pm,6,4
19,06:30 am,06:30 pm,6,5
20,06:30 am,06:30 pm,6,6
21,07:30 am,06:00 pm,7,2
22,07:30 am,06:00 pm,7,3
23,07:30 am,06:00 pm,7,4
24,07:30 am,06:00 pm,7,5
25,07:30 am,06:00 pm,7,6
26,06:30 am,06:30 pm,8,2
27,06:30 am,06:30 pm,8,3
28,06:30 am,06:30 pm,8,4
29,06:30 am,06:30 pm,8,5
30,06:30 am,06:30 pm,8,6
31,06:30 am,06:30 pm,9,2
32,06:30 am,06:30 pm,9,3
33,06:30 am,06:30 pm,9,4
34,06:30 am,06:30 pm,9,5
35,06:30 am,06:30 pm,9,6
36,06:30 am,06:30 pm,10,2
37,06:30 am,06:30 pm,10,3
38,06:30 am,06:30 pm,10,4
39,06:30 am,06:30 pm,10,5
40,06:30 am,06:30 pm,10,6
41,07:00 am,05:30 pm,11,2
42,07:00 am,05:30 pm,11,3
43,07:00 am,05:30 pm,11,4
44,07:00 am,05:30 pm,11,5
45,07:00 am,05:30 pm,11,6
46,06:30 am,06:30 pm,12,2
47,06:30 am,06:30 pm,12,3
48,06:30 am,06:30 pm,12,4
49,06:30 am,06:30 pm,12,5
50,06:30 am,06:30 pm,12,6
51,06:30 am,06:30 pm,13,2
52,06:30 am,06:30 pm,13,3
53,06:30 am,06:30 pm,13,4
54,06:30 am,06:30 pm,13,5
55,06:30 am,06:30 pm,13,6
56,06:30 am,06:30 pm,14,2
57,06:30 am,06:30 pm,14,3
58,06:30 am,06:30 pm,14,4
59,06:30 am,06:30 pm,14,5
